barcode_no,species,county,town,gridref_original,gridref_1km,gridref_10km,flag,latitude_decimal,longitude_decimal,error_radius,date
10881771,Vespula germanica,Surrey,Camberley,NA,NA,NA,NA,51.3354,-0.7429,2.6,1914-04-29
10884397,Vespa crabro,Hants.,New Forest,SU2608,SU2608,NA,NA,50.8765,-1.6315,,1915-07-30
10883019,Vespula vulgaris,Surrey,Camberley,NA,NA,NA,NA,51.3354,-0.7429,2.6,1915-09-24
10884427,Vespa crabro,Suffolk,Bures,NA,NA,NA,NA,51.973333,0.777193,1.16,1916-09-14
10884388,Vespa crabro,Surrey,Staines,NA,NA,NA,NA,51.4315,-0.5155,2.7,1916-08-01
10884001,Vespula vulgaris,London,Greenwich,NA,NA,NA,NA,NA,NA,NA,1916-08-29
10883745,Vespula vulgaris,Oxon,Oxford,NA,NA,NA,NA,51.761348,-1.255119,0.9,1916-10-09
10883743,Vespula vulgaris,Oxon,Oxford,NA,NA,NA,NA,51.761348,-1.255119,0.9,1916-10-09
10883297,Vespula vulgaris,Oxon,Oxford,NA,NA,NA,NA,51.747117,-1.227221,0.33,1916-02-06
10883285,Vespula vulgaris,Oxon,Oxford,NA,NA,NA,NA,51.752,-1.2577,4.9,1916-03-31
10882676,Vespula germanica,Somerset,Weston-super-Mare,NA,NA,NA,NA,51.3474,-2.9773,6,1916-09-08
10881822,Vespula germanica,Hants.,Beaulieu,NA,NA,NA,NA,50.82,-1.45,1.4,1916-04-25
10881549,Vespula germanica,London,W. Wickham,NA,NA,NA,NA,51.3758,-0.0149,2.1,1916-04-28
10881543,Vespula germanica,London,W. Wickham,NA,NA,NA,NA,51.3758,-0.0149,2.1,1916-04-30
10881537,Vespula germanica,Dorset,Parkstone,NA,NA,NA,NA,50.7233,-1.9519,1.4,1916-05-21
10881312,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.761348,-1.255119,0.9,1916-10-09
10884361,Vespa crabro,Hants.,New Forest,SU2608,SU2608,NA,NA,50.8765,-1.6315,,1917-09-01
10884355,Vespa crabro,Hants.,New Forest,SU2608,SU2608,NA,NA,50.8765,-1.6315,,1917-09-01
10884354,Vespa crabro,Hants.,New Forest,SU2608,SU2608,NA,NA,50.8765,-1.6315,,1917-09-01
10884353,Vespa crabro,Hants.,New Forest,SU2608,SU2608,NA,NA,50.8765,-1.6315,,1917-09-01
10884351,Vespa crabro,Hants.,New Forest,SU2608,SU2608,NA,NA,50.8765,-1.6315,,1917-09-01
10884343,Vespa crabro,Hants.,New Forest,SU2608,SU2608,NA,NA,50.8765,-1.6315,,1917-09-01
10884337,Vespa crabro,Hants.,New Forest,SU2608,SU2608,NA,NA,50.8765,-1.6315,,1917-09-01
10881311,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.752555,-1.226502,0.4,1917-10-14
10881299,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.751821,-1.222498,0.2,1917-10-20
10884230,Vespa crabro,Wilts.,Westbury,NA,NA,NA,NA,51.25669861,-2.185800076,1.79999995,1918-09-14
10884224,Vespa crabro,Wilts.,Westbury,NA,NA,NA,NA,51.25669861,-2.185800076,1.79999995,1918-09-14
10884028,Vespa crabro,Suffolk,Bury St. Edmunds,NA,NA,NA,NA,52.2444,0.7164,3.7,1918-10-22
10884026,Vespa crabro,Essex,Colchester,NA,NA,NA,NA,51.8959,0.8919,4.9,1918-12-19
10883552,Vespula vulgaris,Wilts.,Dilton,NA,NA,NA,NA,51.246861,-2.217164,1.37,1918-09-09
10883551,Vespula vulgaris,Wilts.,Dilton,NA,NA,NA,NA,51.246861,-2.217164,1.37,1918-09-09
10883266,Vespula vulgaris,Surrey,Leatherhead,NA,NA,NA,NA,51.2964,-0.3311,3.1,1918-05-04
10883260,Vespula vulgaris,NA,NA,NA,NA,NA,NA,NA,NA,NA,1918-05-19
10882755,Vespula germanica,Surrey,Chobham,NA,NA,NA,NA,51.3481,-0.6039,0.8,1918-07-01
10882752,Vespula germanica,Surrey,Chobham,NA,NA,NA,NA,51.3481,-0.6039,0.8,1918-07-01
10882677,Vespula germanica,London,Wimbledon,NA,NA,NA,NA,51.4183,-0.2206,2.6,1918-08-21
10882550,Vespula germanica,London,Wimbledon,NA,NA,NA,NA,51.4183,-0.2206,2.6,1918-08-22
10882543,Vespula germanica,London,Croydon,NA,NA,NA,NA,51.3762,-0.0982,4.8,1918-09-01
10881563,Vespula germanica,London,Croydon,NA,NA,NA,NA,51.3762,-0.0982,4.8,1918-09-01
10881546,Vespula germanica,Essex,Colchester,NA,NA,NA,NA,51.8959,0.8919,4.9,1918-10-19
10881495,Vespula germanica,London,S. Kensington,NA,NA,NA,NA,51.494467,-0.181444,0.03,1918-05-19
10881468,Vespula germanica,London,Hampstead,NA,NA,NA,NA,51.5557,-0.1762,1,1918-06-02
10881346,Vespula germanica,Wilts.,Dilton,NA,NA,NA,NA,51.246861,-2.217164,1.37,1918-09-13
10881345,Vespula germanica,Wilts.,Dilton,NA,NA,NA,NA,51.246861,-2.217164,1.37,1918-09-13
10881310,Vespula germanica,Essex,Colchester,NA,NA,NA,NA,51.8959,0.8919,4.9,1918-10-19
10884273,Vespa crabro,Hants.,Brockenhurst,NA,NA,NA,NA,50.8189,-1.5757,2.5,1919-06-18
10884266,Vespa crabro,Hants.,New Forest,SU2608,SU2608,NA,NA,50.8765,-1.6315,,1919-06-19
10884249,Vespa crabro,Suffolk,Wrentham,NA,NA,NA,NA,52.385548,1.671548,1.2,1919-08-01
10884235,Vespa crabro,Suffolk,Wrentham,NA,NA,NA,NA,52.385548,1.671548,1.2,1919-08-01
10884104,Vespa crabro,Berks.,Uffington White Horse,NA,NA,NA,NA,51.57770157,-1.566599965,1,1919-10-02
